"λ,n (nm)", D, PAS
300,0,0.259779544
300.5,1.69E-05,0.260146629
301,7.57E-05,0.260513714
301.5,1.43E-04,0.2608808
302,1.61E-04,0.261247885
302.5,2.79E-04,0.261614971
303,5.17E-04,0.261982056
303.5,6.80E-04,0.262349141
304,7.25E-04,0.262716227
304.5,9.41E-04,0.263083312
305,0.001329121,0.263450397
305.5,0.001522262,0.263817483
306,0.001518515,0.264184568
306.5,0.00173927,0.264551653
307,0.002325162,0.264918739
307.5,0.00301014,0.265285824
308,0.00321118,0.26565291
308.5,0.003535757,0.266019995
309,0.003467711,0.26638708
309.5,0.003724576,0.266754166
310,0.004406299,0.267121251
310.5,0.005711274,0.267488849
311,0.007272443,0.267856447
311.5,0.00740114,0.268224045
312,0.008253505,0.268591643
312.5,0.008779631,0.268959241
313,0.009551179,0.269326839
313.5,0.009606751,0.269694437
314,0.0107283,0.270062035
314.5,0.011747681,0.270429633
315,0.012300451,0.270797231
315.5,0.01070587,0.27116483
316,0.011203701,0.271532428
316.5,0.013702483,0.271900026
317,0.015691788,0.272267624
317.5,0.016742941,0.272635222
318,0.016181878,0.27300282
318.5,0.017156764,0.273370418
319,0.018955579,0.273738016
319.5,0.018190172,0.274105614
320,0.019122678,0.274473212
320.5,0.022931296,0.27484081
321,0.023459093,0.275208408
321.5,0.022413761,0.275576006
322,0.020926727,0.275943604
322.5,0.020522307,0.276311202
323,0.020124813,0.2766788
323.5,0.023648154,0.277046398
324,0.026282059,0.277413996
324.5,0.02710658,0.277781594
325,0.0267705,0.278149193
325.5,0.031240797,0.278516791
326,0.036830663,0.278884389
326.5,0.03946066,0.279251987
327,0.038687326,0.279619585
327.5,0.037488786,0.279987183
328,0.034314563,0.280354781
328.5,0.036415849,0.280722379
329,0.041522943,0.281089977
329.5,0.046223961,0.281457575
330,0.04661236,0.281825173
330.5,0.042432988,0.282192258
331,0.040022296,0.282559344
331.5,0.041683415,0.282926429
332,0.043613984,0.283293514
332.5,0.044037751,0.2836606
333,0.043174296,0.284027685
333.5,0.041052429,0.284394771
334,0.041957375,0.284761856
334.5,0.045132266,0.285128941
335,0.047173448,0.285496027
335.5,0.046201618,0.285863112
336,0.042447846,0.286230197
336.5,0.039165767,0.286597283
337,0.038419377,0.286964368
337.5,0.041283659,0.287331453
338,0.044877839,0.287698539
338.5,0.047203865,0.288065624
339,0.04819819,0.28843271
339.5,0.049469519,0.288799795
340,0.052464048,0.28916688
340.5,0.052492991,0.289534478
341,0.049551826,0.289902076
341.5,0.049476367,0.290269674
342,0.051718644,0.290637272
342.5,0.053813466,0.291004871
343,0.054726621,0.291372469
343.5,0.051801919,0.291740067
344,0.04469692,0.292107665
344.5,0.043176478,0.292475263
345,0.049309254,0.292842861
345.5,0.052712068,0.293210459
346,0.051610783,0.293578057
346.5,0.052704687,0.293945655
347,0.053651901,0.294313253
347.5,0.051909658,0.294680851
348,0.051874758,0.295048449
348.5,0.052924266,0.295416047
349,0.051109248,0.295783645
349.5,0.052624371,0.296151243
350,0.058280958,0.296518841
350.5,0.062803714,0.296886439
351,0.061226806,0.297254037
351.5,0.058994478,0.297621635
352,0.057777348,0.297989234
352.5,0.054760965,0.298356832
353,0.058365529,0.29872443
353.5,0.064365106,0.299092028
354,0.06822771,0.299459626
354.5,0.069155418,0.299827224
355,0.06931524,0.300194822
355.5,0.067096657,0.30056242
356,0.063120098,0.300930018
356.5,0.059339355,0.301297616
357,0.052302893,0.301665214
357.5,0.053072786,0.302032812
358,0.049510636,0.30240041
358.5,0.046079624,0.302768008
359,0.054337031,0.303135606
359.5,0.065635096,0.303503204
360,0.069616425,0.303870802
360.5,0.066182008,0.305287875
361,0.061263337,0.306704947
361.5,0.060374775,0.30812202
362,0.063672752,0.309539093
362.5,0.070163963,0.310956165
363,0.072610421,0.312373238
363.5,0.071036296,0.31379031
364,0.074009735,0.315207383
364.5,0.073744425,0.316624455
365,0.077020626,0.318041528
365.5,0.08526753,0.3194586
366,0.091892784,0.320875673
366.5,0.092588848,0.322292745
367,0.091389646,0.323709818
367.5,0.090159202,0.325126891
368,0.085363851,0.326543963
368.5,0.085272055,0.327961036
369,0.089653908,0.329378108
369.5,0.096866824,0.330795181
370,0.098775247,0.332212253
370.5,0.090906862,0.337790823
371,0.093999962,0.343369392
371.5,0.099398829,0.348947962
372,0.094649826,0.354526532
372.5,0.091712156,0.360105101
373,0.089830699,0.365683671
373.5,0.0823155,0.37126224
374,0.083440139,0.37684081
374.5,0.084164938,0.38241938
375,0.091241868,0.387997949
375.5,0.102484796,0.393576519
376,0.107785917,0.399155088
376.5,0.107669547,0.404733658
377,0.117274177,0.410312228
377.5,0.13278956,0.415890797
378,0.145169276,0.421469367
378.5,0.143533474,0.427047936
379,0.129831408,0.432626506
379.5,0.118024069,0.438205076
380,0.125792049,0.443783645
380.5,0.136648149,0.449362215
381,0.14092745,0.454940784
381.5,0.128734386,0.460519354
382,0.111198064,0.466097924
382.5,0.097458158,0.471676493
383,0.088500138,0.477255063
383.5,0.086792865,0.482833632
384,0.101735048,0.488412202
384.5,0.124050981,0.493990772
385,0.137907751,0.499569341
385.5,0.133407505,0.505147911
386,0.130311083,0.51072648
386.5,0.137156442,0.51630505
387,0.140066065,0.52188362
387.5,0.139679071,0.527462189
388,0.139973803,0.533040759
388.5,0.14064142,0.538619328
389,0.154457604,0.544197898
389.5,0.173188756,0.549776468
390,0.183775746,0.555355037
390.5,0.187424339,0.560933607
391,0.20078534,0.566512176
391.5,0.205885373,0.572090746
392,0.191637779,0.577669316
392.5,0.161477415,0.583247885
393,0.118175503,0.588826455
393.5,0.09495866,0.594405024
394,0.124726218,0.599983594
394.5,0.17393279,0.605562164
395,0.207590205,0.611140733
395.5,0.223441818,0.616719303
396,0.198504238,0.622297872
396.5,0.145808337,0.627876442
397,0.114076433,0.633455012
397.5,0.170229698,0.639033581
398,0.232869414,0.644612151
398.5,0.277789859,0.65019072
399,0.297915875,0.65576929
399.5,0.310058109,0.66134786
400,0.316474967,0.666926429
401,0.335707573,0.677583184
402,0.355336043,0.688239938
403,0.348296952,0.698896693
404,0.360227024,0.709553448
405,0.357534274,0.720210203
406,0.354746484,0.730866957
407,0.354345783,0.741523712
408,0.376274009,0.752180467
409,0.40862831,0.762837221
410,0.354077346,0.773493976
411,0.402798616,0.784061523
412,0.435026259,0.794629069
413,0.423925152,0.805196616
414,0.425889237,0.815764163
415,0.447644583,0.82633171
416,0.468034566,0.836899257
417,0.463341515,0.847466803
418,0.449807732,0.85803435
419,0.475083621,0.868601897
420,0.441660915,0.879169444
421,0.508123511,0.88841938
422,0.507613771,0.897669316
423,0.497757883,0.906919251
424,0.501251606,0.916169187
425,0.523049178,0.925419123
426,0.514551094,0.934669059
427,0.503220676,0.943918995
428,0.514338916,0.953168931
429,0.482021972,0.962418867
430,0.389130483,0.971668803
431,0.354112391,0.971871828
