"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
250,2.44409,250,0.41638,209295.4158562749,"Zachary C. Holman, Miha Filipič, Antoine Descoeudres, Stefaan De Wolf, Franc Smole, Marko Topič and Christophe Ballif, 'Infrared light management in high-efficiency silicon heterojunction and rear-passivated solar cells', <i>Journal of Applied Physics</i> <b>113</b>, pp.013107, (2013)","Zachary C. Holman, Miha Filipič, Antoine Descoeudres, Stefaan De Wolf, Franc Smole, Marko Topič and Christophe Ballif, 'Infrared light management in high-efficiency silicon heterojunction and rear-passivated solar cells', <i>Journal of Applied Physics</i> <b>113</b>, pp.013107, (2013)","Indium tin oxide, DC sputtered at 8 mTorr, 1.0x10<sup>-20</sup> cm<sup>-3</sup>, mu=28 cm<sup>2</sup>/Vs."
255,2.44098,255,0.39375,194039.54625113428,,,
260,2.43734,260,0.37212,179853.76280828213,,,
265,2.43324,265,0.35145,166658.52650628416,,,
270,2.42873,270,0.3317,154380.19010307177,,,
275,2.42385,275,0.31283,142950.46251963565,,,
280,2.41864,280,0.2948,132305.9306111816,,,
285,2.41314,285,0.27758,122392.0405310112,,,
290,2.40738,290,0.26114,113158.00076668117,,,
295,2.40139,295,0.24543,104547.94372481939,,,
300,2.39521,300,0.23044,96526.4814790976,,,
305,2.38885,305,0.21613,89048.18625840814,,,
310,2.38233,310,0.20248,82078.66845146597,,,
315,2.37569,315,0.18945,75577.74326636016,,,
320,2.36893,320,0.17703,69519.51843312514,,,
325,2.36207,325,0.16519,63871.96190110744,,,
330,2.35513,330,0.15391,58608.790947152134,,,
335,2.34813,335,0.14317,53705.29196590456,,,
340,2.34107,340,0.13294,49134.509102144366,,,
345,2.33396,345,0.12322,44881.976437719924,,,
350,2.32683,350,0.11398,40923.28350356167,,,
355,2.31968,355,0.10521,37242.47471371067,,,
360,2.31251,360,0.09688,33817.49958664213,,,
365,2.30535,365,0.08899,30637.844410186925,,,
370,2.29819,370,0.08152,27686.77114817729,,,
375,2.29104,375,0.07446,24951.785491871575,,,
380,2.28392,380,0.0678,22421.050727725054,,,
385,2.27683,385,0.06151,20076.817051668382,,,
390,2.26978,390,0.0556,17915.133491240256,,,
395,2.26277,395,0.05004,15919.523684621088,,,
400,2.25581,400,0.04484,14086.901458696633,,,
405,2.2489,405,0.03997,12401.92181372682,,,
410,2.24206,410,0.03543,10859.183191871842,,,
415,2.23529,415,0.03121,9450.516310220477,,,
420,2.22859,420,0.02731,8171.132892336881,,,
425,2.22197,425,0.02371,7010.556406269553,,,
430,2.21544,430,0.0204,5961.720012393655,,,
435,2.209,435,0.01738,5020.770604081895,,,
440,2.20266,440,0.01464,4181.174222595871,,,
445,2.19643,445,0.01217,3436.69057026407,,,
450,2.19031,450,0.00997,2784.1492227813546,,,
455,2.1843,455,0.00803,2217.7572754572343,,,
460,2.17843,460,0.00635,1734.7055087213205,,,
465,2.17269,465,0.00491,1326.9006390645923,,,
470,2.1671,470,0.00372,994.6148656471515,,,
475,2.16167,475,0.00276,730.1722714869751,,,
480,2.1564,480,0.00203,531.4527572322734,,,
485,2.15134,485,0.00153,396.4236503086501,,,
490,2.14648,490,0.00124,318.0061135062321,,,
495,2.14189,495,0.00118,299.5619661604813,,,
500,2.13766,500,0.00122,306.61944299036384,,,
505,2.13368,505,0.00126,313.537167803813,,,
510,2.12991,510,0.0013,320.3192509542534,,,
515,2.1263,515,0.00134,326.9696431697338,,,
520,2.12285,520,0.00138,333.4921432272242,,,
525,2.11953,525,0.00142,339.89040518838146,,,
