"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
199.974,2.02733,199.974,0.35786,224879.30371221126,"L. Lajaunie, F. Boucher, R. Dessapt and P. Moreau, 'Strong anisotropic influence of local-field effects on the dielectric response of α-MoO_3', <i>Physical Review B</i> <b>88</b>, pp.115141, (2013)","L. Lajaunie, F. Boucher, R. Dessapt and P. Moreau, 'Strong anisotropic influence of local-field effects on the dielectric response of α-MoO_3', <i>Physical Review B</i> <b>88</b>, pp.115141, (2013)",-
201.6,2.00641,201.6,0.360096,224459.3151164822,,,
203.253,1.986,203.253,0.366315,226478.82449946526,,,
204.933,1.96829,204.933,0.375707,230381.3150839075,,,
206.64,1.95296,206.64,0.3848,234007.9080722711,,,
208.377,1.93461,208.377,0.39336,237219.44095866263,,,
210.143,1.91228,210.143,0.408414,244228.05842178361,,,
211.939,1.89403,211.939,0.433995,257326.02375111755,,,
213.766,1.88588,213.766,0.46318,272283.3163907675,,,
215.625,1.885,215.625,0.489124,285055.69671317405,,,
217.516,1.88431,217.516,0.51053,294944.2427108254,,,
219.441,1.88005,219.441,0.537219,307640.46167650627,,,
221.4,1.8838,221.4,0.573311,325403.7264358117,,,
223.395,1.90214,223.395,0.61247,344525.39269798173,,,
225.426,1.9406,225.426,0.643359,358640.42444454075,,,
227.494,1.98586,227.494,0.650097,359102.21092789504,,,
229.6,2.02048,229.6,0.638216,349305.69634206686,,,
231.746,2.03881,231.746,0.619478,335910.4422705027,,,
233.932,2.04116,233.932,0.607742,326467.1447220505,,,
236.16,2.04464,236.16,0.610376,324788.74619368627,,,
238.431,2.05911,238.431,0.613129,323146.16171602794,,,
240.746,2.07498,240.746,0.604585,315579.0408929885,,,
243.106,2.07845,243.106,0.589864,304906.07537733996,,,
245.513,2.06929,245.513,0.583051,298429.6128136893,,,
247.968,2.05779,247.968,0.591169,299589.00945767586,,,
250.473,2.05629,250.473,0.609351,305714.8075932486,,,
253.029,2.06222,253.029,0.627481,311630.6352026332,,,
255.637,2.07303,255.637,0.646879,317986.88204939215,,,
258.3,2.08793,258.3,0.667409,324696.4322632149,,,
261.019,2.11064,261.019,0.69268,333480.4591678886,,,
263.796,2.14977,263.796,0.715194,340694.81209593755,,,
266.633,2.19973,266.633,0.721679,340126.1576249044,,,
269.531,2.24887,269.531,0.713026,332434.8209917993,,,
272.493,2.29185,272.493,0.689618,318026.348211996,,,
275.52,2.32024,275.52,0.660706,301345.6904446426,,,
278.616,2.3404,278.616,0.638351,287914.37850111956,,,
281.782,2.36334,281.782,0.617558,275406.6158896744,,,
285.021,2.38342,285.021,0.593894,261843.58730213658,,,
288.335,2.40384,288.335,0.572211,249384.06699197384,,,
291.727,2.42638,291.727,0.545257,234873.753271848,,,
295.2,2.4459,295.2,0.512285,218074.63313607688,,,
298.757,2.45877,298.757,0.472798,198869.14427872113,,,
302.4,2.45773,302.4,0.43292,179901.8904222346,,,
306.134,2.44916,306.134,0.405445,166429.47642989198,,,
309.96,2.44672,309.96,0.387866,157248.28702764987,,,
313.884,2.45668,313.884,0.367773,147238.20965562807,,,
317.908,2.46867,317.908,0.329125,130097.59831306424,,,
322.037,2.45735,322.037,0.276721,107980.71782981722,,,
326.274,2.42013,326.274,0.23883,91984.84383761504,,,
330.624,2.37649,330.624,0.227436,86443.9685881059,,,
335.092,2.34325,335.092,0.238344,89381.99174282953,,,
339.683,2.32933,339.683,0.258443,95609.4511849821,,,
344.401,2.32894,344.401,0.27738,101209.34262708142,,,
349.251,2.34194,349.251,0.297829,107161.59992967747,,,
354.241,2.3767,354.241,0.310936,110301.65941679207,,,
359.374,2.42754,359.374,0.296596,103711.87839789395,,,
364.659,2.46763,364.659,0.245377,84558.40448856632,,,
370.102,2.47028,370.102,0.179736,61027.20841126124,,,
375.71,2.44713,375.71,0.131992,44147.35807219653,,,
