"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
250,2.387839,250,0.736354,370131.8906946334,"Lorenzo Fanni, Benoît Delaup, Bjoern Niesen, Yonat Milstein, Dubi Shachal, Monica Morales-Masis, Sylvain Nicolay and Christophe Ballif, 'Tuning the porosity of zinc oxide electrodes: from dense to nanopillar films', <i>Materials Research Express</i> <b>2</b>, pp.075006, (2015)","Lorenzo Fanni, Benoît Delaup, Bjoern Niesen, Yonat Milstein, Dubi Shachal, Monica Morales-Masis, Sylvain Nicolay and Christophe Ballif, 'Tuning the porosity of zinc oxide electrodes: from dense to nanopillar films', <i>Materials Research Express</i> <b>2</b>, pp.075006, (2015)",Deposited at 160 &deg;C on AF32 Schott glass. Precursor ratio of diethylzinc:H<sub>2</sub>O 1:1. <br>B doped at 1-1.5 x 10<sup>19</sup> cm<sup>-3</sup>.
255,2.399109,255,0.694049,342026.54739315173,,,
260,2.407909,260,0.652444,315340.5041967291,,,
265,2.414364,265,0.611656,290048.9050753386,,,
270,2.418601,270,0.571789,266122.68471162283,,,
275,2.420746,275,0.532933,243528.49420444644,,,
280,2.420924,280,0.495165,222229.53233068428,,,
285,2.419258,285,0.458556,202188.93485747668,,,
290,2.415869,290,0.423162,183365.88006598124,,,
295,2.410874,295,0.389033,165719.75793952515,,,
300,2.404389,300,0.356213,149210.15252175747,,,
305,2.396522,305,0.324735,133794.76594930905,,,
310,2.387383,310,0.29463,119433.21851963364,,,
315,2.377074,315,0.265922,106084.90179401968,,,
320,2.365696,320,0.238631,93710.17456484825,,,
325,2.353347,325,0.212773,82270.28845320137,,,
330,2.340121,330,0.188362,71728.08186854311,,,
335,2.326111,335,0.16541,62047.86159167614,,,
340,2.311406,340,0.143924,53194.18600885381,,,
345,2.296096,345,0.123913,45134.39657788661,,,
350,2.280269,350,0.105382,37836.26480235424,,,
355,2.264012,355,0.088338,31270.085840317206,,,
360,2.247415,360,0.072784,25406.408855431055,,,
365,2.230567,365,0.058726,20218.429608187857,,,
370,2.213563,370,0.046168,15680.11347361444,,,
375,2.196499,375,0.035114,11766.814340069546,,,
380,2.179481,380,0.025567,8454.852565718973,,,
385,2.162622,385,0.017531,5722.105019229368,,,
390,2.146049,390,0.011009,3547.260874191798,,,
395,2.129913,395,0.006004,1910.088333382594,,,
400,2.114396,400,0.002517,790.7388709085511,,,
405,2.099752,405,0.000547,169.72357348282637,,,
410,2.086491,410,0.000063,19.309301187917754,,,
415,2.075094,415,0.000065,19.682267227309545,,,
420,2.064871,420,0.000068,20.345552423248183,,,
425,2.055529,425,0.000071,20.99323090869415,,,
430,2.046908,430,0.000074,21.625847103780902,,,
435,2.038899,435,0.000077,22.24392039783118,,,
440,2.031421,440,0.000079,22.562347239417605,,,
445,2.02441,445,0.000082,23.156008772527013,,,
450,2.017816,450,0.000086,24.01573050744198,,,
455,2.011597,455,0.000089,24.580373289625637,,,
460,2.005717,460,0.000092,25.132741228718345,,,
465,2.000145,465,0.000095,25.67323028740046,,,
470,1.994856,470,0.000099,26.46958916641613,,,
475,1.989827,475,0.000102,26.984627424518646,,,
480,1.985037,480,0.000106,27.75073510670984,,,
485,1.980469,485,0.000109,28.241946329178347,,,
490,1.976106,490,0.000113,28.979589375971155,,,
495,1.971934,495,0.000117,29.702330543030776,,,
500,1.967941,500,0.00012,30.159289474462017,,,
505,1.964114,505,0.000124,30.856038736248266,,,
510,1.960443,510,0.000128,31.539126247803413,,,
515,1.956918,515,0.000132,32.20894992418274,,,
520,1.953532,520,0.000136,32.8658923760163,,,
525,1.950274,525,0.000141,33.74968107856464,,,
530,1.947139,530,0.000145,34.379693190227925,,,
535,1.944119,535,0.000149,34.997929374570404,,,
540,1.941207,540,0.000154,35.8374273076169,,,
545,1.938399,545,0.000158,36.430946001261454,,,
550,1.935688,550,0.000163,37.24215291164628,,,
555,1.933069,555,0.000167,37.812322389152826,,,
560,1.930539,560,0.000172,38.59670974410318,,,
565,1.928091,565,0.000177,39.367214137019005,,,
570,1.925723,570,0.000182,40.12420090900648,,,
575,1.923431,575,0.000187,40.86802269365505,,,
580,1.92121,580,0.000192,41.59901996477519,,,
585,1.919059,585,0.000197,42.317521556047126,,,
590,1.916972,590,0.000203,43.23683448669343,,,
595,1.914948,595,0.000208,43.929497273726184,,,
600,1.912983,600,0.000214,44.82005519121439,,,
605,1.911076,605,0.000219,45.48818453792825,,,
610,1.909223,610,0.000225,46.35136702017727,,,
615,1.907423,615,0.000231,47.20051401491007,,,
620,1.905672,620,0.000237,48.03596509037296,,,
625,1.90397,625,0.000243,48.85804894862846,,,
630,1.902313,630,0.000249,49.66708385675292,,,
635,1.900701,635,0.000255,50.46337805766283,,,
640,1.899131,640,0.000261,51.247230161683504,,,
645,1.897602,645,0.000268,52.213756971290834,,,
650,1.896112,650,0.000274,52.972085358990974,,,
