"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
250,2.467641,250,0.846447,425470.6682964992,"Zachary C. Holman, 'Unpublished', (2012)","Zachary C. Holman, 'Unpublished', (2012)","Highly transparent ZnO (n < 1x10<sup>19</sup> cm<sup>-3</sup>), corsin polished LPCVD ZnO."
255,2.484195,255,0.801991,395220.24060315796,,,
260,2.498033,260,0.757913,366315.9865938771,,,
265,2.509262,265,0.714359,338750.94134728314,,,
270,2.517991,270,0.671465,312514.00165076595,,,
275,2.524336,275,0.62935,287587.10349625256,,,
280,2.528414,280,0.588124,263949.4339714062,,,
285,2.530341,285,0.547884,241575.90869044076,,,
290,2.530236,290,0.508716,220438.40667083932,,,
295,2.528217,295,0.470697,200506.8796293905,,,
300,2.524399,300,0.433894,181749.09371155864,,,
305,2.518897,305,0.398365,164131.22064882595,,,
310,2.511823,310,0.364164,147619.99317443525,,,
315,2.503287,315,0.331333,132179.46904023708,,,
320,2.493396,320,0.299913,117775.55968950945,,,
325,2.482256,325,0.269938,104373.56771996574,,,
330,2.469969,330,0.241437,91938.99460663745,,,
335,2.456636,335,0.214435,80437.90097582414,,,
340,2.442356,340,0.188957,69838.34388757254,,,
345,2.427226,345,0.165021,60107.682468178704,,,
350,2.411342,350,0.142645,51215.141036721834,,,
355,2.394802,355,0.121846,43131.32377118895,,,
360,2.377701,360,0.102639,35827.7698190892,,,
365,2.360136,365,0.085038,29277.23354257193,,,
370,2.342209,370,0.069055,23453.262777691154,,,
375,2.324021,375,0.054705,18331.821452227163,,,
380,2.305683,380,0.041998,13888.485080575174,,,
385,2.287309,385,0.030947,10101.077179287618,,,
390,2.269026,390,0.021563,6947.914091216073,,,
395,2.250974,395,0.013859,4409.046337833008,,,
400,2.233318,400,0.007842,2463.636958945116,,,
405,2.216257,405,0.003523,1093.1191030712932,,,
410,2.200055,410,0.000908,278.2991345814178,,,
415,2.185169,415,0.000001,0.3028041111893776,,,
420,2.172408,420,0,0,,,
425,2.161082,425,0,0,,,
430,2.15078,430,0,0,,,
435,2.141303,435,0,0,,,
440,2.132519,440,0,0,,,
445,2.124335,445,0,0,,,
450,2.116675,450,0,0,,,
455,2.109482,455,0,0,,,
460,2.102707,460,0,0,,,
465,2.096311,465,0,0,,,
470,2.090257,470,0,0,,,
475,2.084517,475,0,0,,,
480,2.079066,480,0,0,,,
485,2.073879,485,0,0,,,
490,2.068937,490,0,0,,,
495,2.064224,495,0,0,,,
500,2.059721,500,0,0,,,
505,2.055415,505,0,0,,,
510,2.051293,510,0,0,,,
515,2.047344,515,0,0,,,
520,2.043556,520,0,0,,,
525,2.039919,525,0,0,,,
530,2.036426,530,0,0,,,
535,2.033067,535,0,0,,,
540,2.029835,540,0,0,,,
545,2.026722,545,0,0,,,
550,2.023724,550,0,0,,,
555,2.020832,555,0,0,,,
560,2.018043,560,0,0,,,
565,2.015351,565,0,0,,,
570,2.01275,570,0,0,,,
575,2.010237,575,0,0,,,
580,2.007807,580,0,0,,,
585,2.005457,585,0,0,,,
590,2.003182,590,0,0,,,
595,2.000979,595,0,0,,,
600,1.998845,600,0,0,,,
605,1.996777,605,0,0,,,
610,1.994772,610,0,0,,,
615,1.992828,615,0,0,,,
620,1.990941,620,0,0,,,
625,1.98911,625,0,0,,,
630,1.987331,630,0,0,,,
635,1.985604,635,0,0,,,
640,1.983925,640,0,0,,,
645,1.982293,645,0,0,,,
650,1.980707,650,0,0,,,
655,1.979164,655,0,0,,,
660,1.977663,660,0,0,,,
